,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,86.6,2025-09-17 01:57:17.095284,2025-09-17 01:57:43.007473,0 days 00:00:25.912189,relu,3,0.00011147151924573555,0.0002436593455224103,0.5028691153830191,small,0.9998885284807543,8,COMPLETE
1,1,500.0,2025-09-17 01:57:43.008420,2025-09-17 01:58:00.198056,0 days 00:00:17.189636,tanh,7,0.04494942719218736,0.0013200528077930507,1.9349305217024666,small,0.9550505728078127,128,COMPLETE
2,2,232.1,2025-09-17 01:58:00.198976,2025-09-17 01:58:18.581799,0 days 00:00:18.382823,relu,5,0.0005799726851949414,1.7697479082598286e-05,0.8791158610002346,small,0.9994200273148051,32,COMPLETE
3,3,9.1,2025-09-17 01:58:18.582640,2025-09-17 01:58:42.445803,0 days 00:00:23.863163,tanh,3,0.02632806086114918,0.20288757102390295,0.7995672217017333,small,0.9736719391388509,8,COMPLETE
4,4,9.6,2025-09-17 01:58:42.446849,2025-09-17 01:59:03.907899,0 days 00:00:21.461050,relu,3,0.00010467568449332583,0.17710590312271943,2.507047225468283,tiny,0.9998953243155067,8,COMPLETE
5,5,431.3,2025-09-17 01:59:03.911574,2025-09-17 01:59:20.349775,0 days 00:00:16.438201,tanh,9,0.05370195893597906,0.002602359011463193,4.859189246321378,tiny,0.9462980410640209,512,COMPLETE
6,6,500.0,2025-09-17 01:59:20.350553,2025-09-17 01:59:37.436999,0 days 00:00:17.086446,tanh,8,0.005930143740284389,0.00393524443316629,1.776441907433056,small,0.9940698562597156,256,COMPLETE
7,7,100.1,2025-09-17 01:59:37.437888,2025-09-17 01:59:46.107584,0 days 00:00:08.669696,tanh,6,0.005359273966740872,0.004071193871228748,3.212765377084835,small,0.9946407260332591,64,PRUNED
8,8,87.9,2025-09-17 01:59:46.108374,2025-09-17 01:59:53.303132,0 days 00:00:07.194758,tanh,10,0.09900634979882911,0.0001415067584125075,1.482459030022295,tiny,0.9009936502011708,1024,PRUNED
9,9,9.5,2025-09-17 01:59:53.306532,2025-09-17 02:00:01.396535,0 days 00:00:08.090003,tanh,7,0.015364134084771996,0.02896115136380708,0.38224907375428824,small,0.984635865915228,128,PRUNED
