#{"t_start": 1757995025.403884, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,4310,10.219922
-21.0,3652,12.070176
-21.0,3760,13.625902
-21.0,3296,14.984604
-21.0,3280,16.338509
-20.0,3367,17.751033
-21.0,3520,19.251451
-20.0,3626,20.739149
-21.0,3788,22.999318
-20.0,3626,24.900803
-20.0,3370,26.313717
-20.0,4177,28.190005
-21.0,3619,29.719817
-20.0,3787,31.300667
-20.0,3686,32.908533
-17.0,4514,35.123294
-20.0,3462,37.229529
-18.0,4262,38.91062
-21.0,3483,40.294864
-21.0,3168,41.568506
-21.0,3611,42.954958
-21.0,3240,44.231328
-21.0,3536,45.598383
-20.0,3965,47.408855
-20.0,3922,49.865193
-20.0,3849,51.402352
-21.0,3379,52.742198
-20.0,4015,64.601548
-21.0,3408,65.9071
-19.0,3748,67.341092
-18.0,4395,69.000215
-21.0,3896,70.480032
-19.0,4307,72.114718
-21.0,3056,73.706982
-21.0,3056,75.481551
-21.0,3408,76.79895
-21.0,3408,78.083062
-21.0,3357,79.344885
-18.0,4537,81.071686
-21.0,3283,82.328436
-20.0,4154,83.905613
-20.0,3837,85.463359
-19.0,4045,87.988369
-20.0,3917,89.722944
-21.0,3520,91.158128
-21.0,4152,92.862339
-21.0,3251,94.184586
-20.0,3553,95.611591
-20.0,3618,97.037868
-21.0,3056,98.236982
-20.0,4024,100.558024
-20.0,4153,102.39336
-21.0,3056,103.587552
-21.0,3648,104.962055
-21.0,4081,118.762765
-20.0,3682,120.162869
-20.0,4259,121.830774
-18.0,4133,123.416436
-20.0,3460,125.249163
-21.0,3416,127.083415
-20.0,3619,128.459573
-20.0,3719,129.865006
-21.0,3788,131.319796
-21.0,3412,132.608062
-20.0,4158,134.205968
-20.0,3847,135.659982
-21.0,3168,137.040967
-18.0,4485,139.664186
-21.0,3168,140.944432
-21.0,3056,142.835773
-21.0,3056,144.346394
-20.0,3940,145.913078
-20.0,3367,147.291304
-20.0,3719,148.751177
-20.0,4165,150.913587
-20.0,3839,152.934475
-19.0,4552,154.666638
-21.0,3483,156.038396
-21.0,3168,157.300844
-21.0,3483,158.659638
-19.0,3823,160.118574
