#{"t_start": 1757997772.2137444, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,3373,3.413733
-21.0,3648,4.87297
-20.0,3538,6.420242
-21.0,3648,8.650534
-21.0,3296,9.975301
-18.0,4278,11.663841
-19.0,4398,13.419333
-21.0,3414,14.798827
-21.0,3652,16.305767
-21.0,3643,17.794707
-21.0,3168,19.310974
-18.0,4413,21.608112
-21.0,3548,22.872588
-18.0,4332,24.4323
-21.0,3540,25.72557
-21.0,3632,27.02871
-21.0,3844,28.394327
-21.0,3371,29.596895
-21.0,3056,30.692024
-20.0,3967,32.721925
-19.0,4104,34.596944
-19.0,3993,36.012519
-20.0,3481,37.258298
-20.0,3624,38.545596
-20.0,4116,40.015042
-21.0,3768,41.382191
-18.0,4132,53.881285
-20.0,3564,55.180764
-21.0,3472,56.594054
-21.0,3300,58.507498
-20.0,4268,60.78332
-20.0,3370,62.332255
-21.0,3416,63.560358
-21.0,3056,64.657917
-20.0,3588,65.932457
-17.0,5098,67.772251
-21.0,3656,69.342178
-21.0,3415,71.29166
-21.0,3540,72.568603
-18.0,4570,74.241069
-21.0,3168,75.423188
-21.0,3408,76.657349
-21.0,3243,77.834682
-21.0,3796,79.224937
-19.0,3858,80.605088
-20.0,3679,82.40262
-20.0,3924,84.251957
-21.0,3774,85.635701
-21.0,3371,86.848422
-20.0,4259,88.368319
-19.0,3749,89.728301
-21.0,3902,91.128134
-21.0,3168,92.292414
-21.0,3056,93.392964
-20.0,4207,108.65957
-20.0,4011,110.136717
-21.0,3707,111.490102
-19.0,4043,112.948611
-21.0,3991,114.393883
-21.0,4128,115.941706
-20.0,3859,117.337468
-18.0,4958,119.590841
-21.0,4319,121.600312
-21.0,4004,123.076033
-20.0,4751,124.782149
-21.0,3729,126.119161
-21.0,3249,127.293007
-21.0,3194,128.497701
-20.0,3607,129.82223
-21.0,3300,131.223068
-19.0,4250,133.623812
-20.0,3619,134.976812
-21.0,3300,136.192449
-20.0,3850,137.587115
-21.0,3240,138.776417
-20.0,4296,140.364016
-19.0,4302,141.978397
-20.0,3607,143.367114
-21.0,3373,145.437727
-21.0,3300,146.79404
-21.0,3536,162.612892
-20.0,3711,164.042159
-21.0,3540,165.380556
-20.0,3666,166.710812
-21.0,3131,167.853112
-21.0,3296,169.555014
-19.0,3680,171.380778
-21.0,3056,172.53663
-21.0,3612,173.894911
-21.0,3651,175.267843
-20.0,3736,176.6437
-20.0,3507,177.916943
-21.0,3408,179.153089
-20.0,3965,180.613326
-21.0,3715,182.688714
-20.0,4046,184.461327
-21.0,3376,185.697074
-20.0,3507,186.982111
-18.0,5078,188.798355
-21.0,3520,190.088401
-20.0,3554,191.372885
-19.0,4100,192.834882
-20.0,3866,194.798261
-21.0,3904,196.675003
-21.0,3296,197.858434
-21.0,3487,199.112454
-20.0,3834,200.495929
-20.0,3588,201.799571
-21.0,3056,238.851918
-21.0,3168,261.824428
-21.0,3296,285.504333
-21.0,3056,307.828404
-21.0,3056,331.594333
-21.0,3056,354.989759
-21.0,3056,378.472478
-21.0,3056,401.762792
-21.0,3056,425.471333
-21.0,3168,450.041363
-21.0,3056,473.336965
-21.0,3056,496.81457
-21.0,3056,520.666631
-21.0,3544,553.386085
-20.0,3350,579.511242
-21.0,3056,603.754505
-21.0,3544,630.67134
-21.0,3056,654.28132
-21.0,3056,677.850394
-21.0,3168,702.571308
-21.0,3056,726.312149
-21.0,3056,750.600929
-20.0,3373,777.999578
-20.0,3948,809.550827
-21.0,3131,835.536557
